Tid	Kanal A
(s)	(V)

-1.78501405	1.29902800
-1.78468071	1.29902800
-1.78434738	1.29902800
-1.78401404	1.29902800
-1.78368071	1.29902800
-1.78334737	1.29902800
-1.78301403	1.29902800
-1.78268070	1.29902800
-1.78234736	1.29902800
-1.78201403	1.29902800
-1.78168069	1.29902800
-1.78134736	1.29902800
-1.78101402	1.29902800
-1.78068068	1.29902800
-1.78034735	1.28045000
-1.78001401	1.28045000
-1.77968068	1.28045000
-1.77934734	1.28045000
-1.77901400	1.28045000
-1.77868067	1.28045000
-1.77834733	1.28045000
-1.77801400	1.28045000
-1.77768066	1.28045000
-1.77734732	1.28045000
-1.77701399	1.28045000
-1.77668065	1.28045000
-1.77634732	1.28045000
-1.77601398	1.28045000
-1.77568064	1.28045000
-1.77534731	1.28045000
-1.77501397	1.28045000
-1.77468064	1.28045000
-1.77434730	1.28045000
-1.77401396	1.28045000
-1.77368063	1.28045000
-1.77334729	1.26187300
-1.77301396	1.26187300
-1.77268062	1.26187300
-1.77234728	1.26187300
-1.77201395	1.26187300
-1.77168061	1.26187300
-1.77134728	1.26187300
-1.77101394	1.26187300
-1.77068060	1.26187300
-1.77034727	1.26187300
-1.77001393	1.26187300
-1.76968060	1.26187300
-1.76934726	1.26187300
-1.76901392	1.26187300
-1.76868059	1.26187300
-1.76834725	1.26187300
-1.76801392	1.26187300
-1.76768058	1.26187300
-1.76734724	1.26187300
-1.76701391	1.26187300
-1.76668057	1.26187300
-1.76634724	1.24335600
-1.76601390	1.24335600
-1.76568056	1.24335600
-1.76534723	1.24335600
-1.76501389	1.24335600
-1.76468056	1.24335600
-1.76434722	1.24335600
-1.76401388	1.24335600
-1.76368055	1.24335600
-1.76334721	1.24335600
-1.76301388	1.24335600
-1.76268054	1.24335600
-1.76234720	1.24335600
-1.76201387	1.24335600
-1.76168053	1.24335600
-1.76134720	1.22477900
-1.76101386	1.24335600
-1.76068052	1.24335600
-1.76034719	1.24335600
-1.76001385	1.22477900
-1.75968052	1.22477900
-1.75934718	1.22477900
-1.75901384	1.22477900
-1.75868051	1.22477900
-1.75834717	1.22477900
-1.75801384	1.22477900
-1.75768050	1.22477900
-1.75734716	1.22477900
-1.75701383	1.22477900
-1.75668049	1.22477900
-1.75634716	1.22477900
-1.75601382	1.22477900
-1.75568048	1.22477900
-1.75534715	1.22477900
-1.75501381	1.22477900
-1.75468048	1.22477900
-1.75434714	1.22477900
-1.75401380	1.22477900
-1.75368047	1.22477900
-1.75334713	1.22477900
-1.75301380	1.22477900
-1.75268046	1.20620100
-1.75234712	1.20620100
-1.75201379	1.20620100
-1.75168045	1.20620100
-1.75134712	1.20620100
-1.75101378	1.20620100
-1.75068045	1.20620100
-1.75034711	1.20620100
-1.75001377	1.20620100
-1.74968044	1.20620100
-1.74934710	1.20620100
-1.74901377	1.20620100
-1.74868043	1.20620100
-1.74834709	1.20620100
-1.74801376	1.20620100
-1.74768042	1.20620100
-1.74734709	1.20620100
-1.74701375	1.20620100
-1.74668041	1.20620100
-1.74634708	1.20620100
-1.74601374	1.20620100
-1.74568041	1.20620100
-1.74534707	1.20620100
-1.74501373	1.20620100
-1.74468040	1.20620100
-1.74434706	1.22477900
-1.74401373	1.20620100
-1.74368039	1.22477900
-1.74334705	1.20620100
-1.74301372	1.22477900
-1.74268038	1.20620100
-1.74234705	1.20620100
-1.74201371	1.20620100
-1.74168037	1.20620100
-1.74134704	1.20620100
-1.74101370	1.20620100
-1.74068037	1.20620100
-1.74034703	1.20620100
-1.74001369	1.20620100
-1.73968036	1.22477900
-1.73934702	1.22477900
-1.73901369	1.20620100
-1.73868035	1.20620100
-1.73834701	1.20620100
-1.73801368	1.20620100
-1.73768034	1.20620100
-1.73734701	1.20620100
-1.73701367	1.20620100
-1.73668033	1.20620100
-1.73634700	1.20620100
-1.73601366	1.20620100
-1.73568033	1.20620100
-1.73534699	1.20620100
-1.73501365	1.20620100
-1.73468032	1.20620100
-1.73434698	1.20620100
-1.73401365	1.20620100
-1.73368031	1.20620100
-1.73334697	1.20620100
-1.73301364	1.22477900
-1.73268030	1.22477900
-1.73234697	1.22477900
-1.73201363	1.22477900
-1.73168029	1.22477900
-1.73134696	1.22477900
-1.73101362	1.22477900
-1.73068029	1.22477900
-1.73034695	1.22477900
-1.73001361	1.22477900
-1.72968028	1.22477900
-1.72934694	1.22477900
-1.72901361	1.22477900
-1.72868027	1.22477900
-1.72834693	1.22477900
-1.72801360	1.22477900
-1.72768026	1.22477900
-1.72734693	1.22477900
-1.72701359	1.22477900
-1.72668025	1.22477900
-1.72634692	1.24335600
-1.72601358	1.24335600
-1.72568025	1.24335600
-1.72534691	1.22477900
-1.72501357	1.24335600
-1.72468024	1.24335600
-1.72434690	1.24335600
-1.72401357	1.24335600
-1.72368023	1.24335600
-1.72334689	1.24335600
-1.72301356	1.24335600
-1.72268022	1.24335600
-1.72234689	1.24335600
-1.72201355	1.24335600
-1.72168021	1.24335600
-1.72134688	1.24335600
-1.72101354	1.24335600
-1.72068021	1.24335600
-1.72034687	1.24335600
-1.72001354	1.26187300
-1.71968020	1.26187300
-1.71934686	1.26187300
-1.71901353	1.26187300
-1.71868019	1.26187300
-1.71834686	1.26187300
-1.71801352	1.26187300
-1.71768018	1.26187300
-1.71734685	1.26187300
-1.71701351	1.26187300
-1.71668018	1.26187300
-1.71634684	1.28045000
-1.71601350	1.28045000
-1.71568017	1.28045000
-1.71534683	1.28045000
-1.71501350	1.28045000
-1.71468016	1.28045000
-1.71434682	1.28045000
-1.71401349	1.28045000
-1.71368015	1.28045000
-1.71334682	1.28045000
-1.71301348	1.28045000
-1.71268014	1.28045000
-1.71234681	1.28045000
-1.71201347	1.28045000
-1.71168014	1.28045000
-1.71134680	1.28045000
-1.71101346	1.28045000
-1.71068013	1.28045000
-1.71034679	1.28045000
-1.71001346	1.28045000
-1.70968012	1.28045000
-1.70934678	1.28045000
-1.70901345	1.28045000
-1.70868011	1.28045000
-1.70834678	1.29902800
-1.70801344	1.29902800
-1.70768010	1.28045000
-1.70734677	1.29902800
-1.70701343	1.29902800
-1.70668010	1.29902800
-1.70634676	1.29902800
-1.70601342	1.29902800
-1.70568009	1.29902800
-1.70534675	1.29902800
-1.70501342	1.29902800
